,precinct,prediction,observed,date,mae
0,102,92.61850046681252,96,2017-01-01,3.3814995331874798
1,102,93.12473967409079,53,2017-02-01,40.12473967409079
2,102,76.3506335784396,73,2017-03-01,3.3506335784395986
3,102,67.95975162684545,62,2017-04-01,5.959751626845446
4,102,64.25960800843002,79,2017-05-01,14.740391991569979
5,102,70.38139155615276,71,2017-06-01,0.6186084438472363
6,102,72.24262131344516,75,2017-07-01,2.757378686554844
7,102,73.32855263070759,74,2017-08-01,0.6714473692924088
8,102,73.31714336318683,94,2017-09-01,20.68285663681317
9,102,82.32767094847887,103,2017-10-01,20.67232905152113
10,102,94.67416294939815,80,2017-11-01,14.674162949398152
11,102,91.1684321330687,76,2017-12-01,15.168432133068706
12,102,81.29531392363077,64,2018-01-01,17.295313923630772
13,102,70.58180988032811,44,2018-02-01,26.58180988032811
14,102,55.80027450984706,69,2018-03-01,13.199725490152943
15,102,57.35096931140117,68,2018-04-01,10.649030688598828
16,102,64.11798663804474,63,2018-05-01,1.1179866380447407
17,102,65.20866064396866,74,2018-06-01,8.791339356031344
18,102,68.0535868721862,64,2018-07-01,4.053586872186202
19,102,67.20268891152557,82,2018-08-01,14.79731108847443
20,102,72.96898688705093,60,2018-09-01,12.968986887050932
21,102,68.93263824423711,74,2018-10-01,5.067361755762889
22,102,68.82529478793577,53,2018-11-01,15.825294787935775
23,102,62.02278503579664,62,2018-12-01,0.022785035796637487
0,52,162.1267044564497,137,2017-01-01,25.126704456449687
1,52,147.34633025974802,107,2017-02-01,40.346330259748015
2,52,121.62835556383976,114,2017-03-01,7.6283555638397615
3,52,113.98795909040057,144,2017-04-01,30.012040909599435
4,52,128.87157960724932,157,2017-05-01,28.128420392750684
5,52,146.99789441822705,176,2017-06-01,29.002105581772952
6,52,166.1899216080695,175,2017-07-01,8.810078391930489
7,52,173.25945798955593,170,2017-08-01,3.2594579895559264
8,52,172.30341974992288,158,2017-09-01,14.303419749922881
9,52,163.667431390036,160,2017-10-01,3.6674313900360005
10,52,160.43255585499264,162,2017-11-01,1.5674441450073573
11,52,160.80575438737677,146,2017-12-01,14.805754387376766
12,52,152.43533726674252,134,2018-01-01,18.435337266742522
13,52,140.63752897078177,124,2018-02-01,16.637528970781773
14,52,129.10305618610403,140,2018-03-01,10.896943813895973
15,52,133.9503027651149,172,2018-04-01,38.04969723488509
16,52,156.61840251952398,179,2018-05-01,22.381597480476017
17,52,172.72470840434718,169,2018-06-01,3.724708404347183
18,52,172.34693371096444,169,2018-07-01,3.3469337109644357
19,52,170.10313750762927,162,2018-08-01,8.10313750762927
20,52,164.8022481635152,166,2018-09-01,1.197751836484798
21,52,165.08131477261327,161,2018-10-01,4.081314772613268
22,52,162.5297864797122,150,2018-11-01,12.529786479712186
23,52,154.87048665884137,144,2018-12-01,10.870486658841372
0,23,65.5582432775419,71,2017-01-01,5.441756722458095
1,23,68.84415972266066,54,2017-02-01,14.844159722660663
2,23,60.426738655961884,55,2017-03-01,5.426738655961884
3,23,56.36506230335733,98,2017-04-01,41.63493769664267
4,23,80.66893058937077,77,2017-05-01,3.668930589370774
5,23,79.84836212246412,80,2017-06-01,0.151637877535876
6,23,81.90264914294653,91,2017-07-01,9.09735085705347
7,23,86.30262022782043,93,2017-08-01,6.697379772179573
8,23,90.92634008819651,82,2017-09-01,8.926340088196511
