,precinct,prediction,observed,random_prediction,date,perc,random_perc
0,75,16,23,6,2017-01-01,69.56521739130434,26.08695652173913
1,43,9,12,8,2017-01-01,75.0,66.66666666666666
2,103,5,10,5,2017-01-01,50.0,50.0
3,67,6,11,3,2017-01-01,54.54545454545454,27.27272727272727
4,47,15,20,8,2017-01-01,75.0,40.0
5,75,9,18,3,2017-02-01,50.0,16.666666666666664
6,43,4,10,2,2017-02-01,40.0,20.0
7,103,3,6,2,2017-02-01,50.0,33.33333333333333
8,67,10,15,7,2017-02-01,66.66666666666666,46.666666666666664
9,47,15,24,8,2017-02-01,62.5,33.33333333333333
10,75,13,25,8,2017-03-01,52.0,32.0
11,43,2,4,2,2017-03-01,50.0,50.0
12,103,2,5,3,2017-03-01,40.0,60.0
13,67,8,9,7,2017-03-01,88.88888888888889,77.77777777777779
14,47,8,13,5,2017-03-01,61.53846153846154,38.46153846153847
15,75,15,27,7,2017-04-01,55.55555555555556,25.925925925925924
16,43,6,11,0,2017-04-01,54.54545454545454,0.0
17,103,3,6,3,2017-04-01,50.0,50.0
18,67,8,10,2,2017-04-01,80.0,20.0
19,47,22,31,11,2017-04-01,70.96774193548387,35.483870967741936
20,75,21,32,12,2017-05-01,65.625,37.5
21,43,6,14,6,2017-05-01,42.857142857142854,42.857142857142854
22,103,3,15,6,2017-05-01,20.0,40.0
23,67,9,19,6,2017-05-01,47.368421052631575,31.57894736842105
24,47,9,17,6,2017-05-01,52.94117647058824,35.294117647058826
25,75,17,23,5,2017-06-01,73.91304347826086,21.73913043478261
26,43,4,13,6,2017-06-01,30.76923076923077,46.15384615384615
27,103,0,6,2,2017-06-01,0.0,33.33333333333333
28,67,12,18,5,2017-06-01,66.66666666666666,27.77777777777778
29,47,7,24,14,2017-06-01,29.166666666666668,58.333333333333336
30,75,21,26,4,2017-07-01,80.76923076923077,15.384615384615385
31,43,6,12,5,2017-07-01,50.0,41.66666666666667
32,103,3,11,3,2017-07-01,27.27272727272727,27.27272727272727
33,67,13,17,9,2017-07-01,76.47058823529412,52.94117647058824
34,47,5,17,3,2017-07-01,29.411764705882355,17.647058823529413
35,75,17,22,0,2017-08-01,77.27272727272727,0.0
36,43,7,14,4,2017-08-01,50.0,28.57142857142857
37,103,2,8,2,2017-08-01,25.0,25.0
38,67,12,17,8,2017-08-01,70.58823529411765,47.05882352941176
39,47,14,22,4,2017-08-01,63.63636363636363,18.181818181818183
40,75,8,12,1,2017-09-01,66.66666666666666,8.333333333333332
41,43,8,15,3,2017-09-01,53.333333333333336,20.0
42,103,2,7,0,2017-09-01,28.57142857142857,0.0
43,67,7,12,4,2017-09-01,58.333333333333336,33.33333333333333
44,47,15,20,8,2017-09-01,75.0,40.0
45,75,15,22,4,2017-10-01,68.18181818181817,18.181818181818183
46,43,10,12,4,2017-10-01,83.33333333333334,33.33333333333333
47,103,3,9,3,2017-10-01,33.33333333333333,33.33333333333333
48,67,8,14,3,2017-10-01,57.14285714285714,21.428571428571427
49,47,8,12,5,2017-10-01,66.66666666666666,41.66666666666667
50,75,12,18,5,2017-11-01,66.66666666666666,27.77777777777778
51,43,9,12,6,2017-11-01,75.0,50.0
52,103,0,13,9,2017-11-01,0.0,69.23076923076923
53,67,10,14,7,2017-11-01,71.42857142857143,50.0
54,47,8,20,0,2017-11-01,40.0,0.0
55,75,10,15,4,2017-12-01,66.66666666666666,26.666666666666668
56,43,2,6,2,2017-12-01,33.33333333333333,33.33333333333333
57,103,3,12,5,2017-12-01,25.0,41.66666666666667
58,67,5,10,2,2017-12-01,50.0,20.0
59,47,3,11,3,2017-12-01,27.27272727272727,27.27272727272727
60,75,17,29,4,2018-01-01,58.620689655172406,13.793103448275861
61,43,2,8,1,2018-01-01,25.0,12.5
62,103,4,12,2,2018-01-01,33.33333333333333,16.666666666666664
63,67,9,15,5,2018-01-01,60.0,33.33333333333333
64,47,3,14,6,2018-01-01,21.428571428571427,42.857142857142854
65,75,16,23,5,2018-02-01,69.56521739130434,21.73913043478261
66,43,1,5,1,2018-02-01,20.0,20.0
67,103,4,9,5,2018-02-01,44.44444444444444,55.55555555555556
68,67,8,13,6,2018-02-01,61.53846153846154,46.15384615384615
69,47,5,15,3,2018-02-01,33.33333333333333,20.0
70,75,10,12,1,2018-03-01,83.33333333333334,8.333333333333332
71,43,4,12,4,2018-03-01,33.33333333333333,33.33333333333333
72,103,0,4,1,2018-03-01,0.0,25.0
73,67,7,13,3,2018-03-01,53.84615384615385,23.076923076923077
74,47,4,12,6,2018-03-01,33.33333333333333,50.0
75,75,13,21,1,2018-04-01,61.904761904761905,4.761904761904762
76,43,4,11,4,2018-04-01,36.36363636363637,36.36363636363637
77,103,3,4,3,2018-04-01,75.0,75.0
78,67,14,17,4,2018-04-01,82.35294117647058,23.52941176470588
79,47,6,18,9,2018-04-01,33.33333333333333,50.0
80,75,17,22,3,2018-05-01,77.27272727272727,13.636363636363635
81,43,3,9,2,2018-05-01,33.33333333333333,22.22222222222222
82,103,1,9,5,2018-05-01,11.11111111111111,55.55555555555556
83,67,12,16,5,2018-05-01,75.0,31.25
84,47,3,16,7,2018-05-01,18.75,43.75
85,75,16,23,0,2018-06-01,69.56521739130434,0.0
86,43,3,5,2,2018-06-01,60.0,40.0
87,103,0,12,3,2018-06-01,0.0,25.0
88,67,8,10,3,2018-06-01,80.0,30.0
89,47,8,18,6,2018-06-01,44.44444444444444,33.33333333333333
90,75,13,23,4,2018-07-01,56.52173913043478,17.391304347826086
91,43,3,16,5,2018-07-01,18.75,31.25
92,103,0,5,1,2018-07-01,0.0,20.0
93,67,7,11,5,2018-07-01,63.63636363636363,45.45454545454545
94,47,7,24,5,2018-07-01,29.166666666666668,20.833333333333336
95,75,19,36,15,2018-08-01,52.77777777777778,41.66666666666667
96,43,3,8,0,2018-08-01,37.5,0.0
97,103,1,9,5,2018-08-01,11.11111111111111,55.55555555555556
98,67,8,13,6,2018-08-01,61.53846153846154,46.15384615384615
99,47,6,19,5,2018-08-01,31.57894736842105,26.31578947368421
100,75,25,31,10,2018-09-01,80.64516129032258,32.25806451612903
101,43,7,12,0,2018-09-01,58.333333333333336,0.0
102,103,2,7,3,2018-09-01,28.57142857142857,42.857142857142854
103,67,9,12,4,2018-09-01,75.0,33.33333333333333
104,47,3,15,1,2018-09-01,20.0,6.666666666666667
105,75,17,27,1,2018-10-01,62.96296296296296,3.7037037037037033
106,43,3,11,3,2018-10-01,27.27272727272727,27.27272727272727
107,103,2,7,4,2018-10-01,28.57142857142857,57.14285714285714
108,67,6,10,2,2018-10-01,60.0,20.0
109,47,3,8,2,2018-10-01,37.5,25.0
110,75,16,22,2,2018-11-01,72.72727272727273,9.090909090909092
111,43,12,18,13,2018-11-01,66.66666666666666,72.22222222222221
112,103,0,7,2,2018-11-01,0.0,28.57142857142857
113,67,6,7,4,2018-11-01,85.71428571428571,57.14285714285714
114,47,4,12,3,2018-11-01,33.33333333333333,25.0
115,75,11,19,3,2018-12-01,57.89473684210527,15.789473684210526
116,43,3,5,1,2018-12-01,60.0,20.0
117,103,0,2,1,2018-12-01,0.0,50.0
118,67,7,6,3,2018-12-01,100.0,50.0
119,47,9,15,4,2018-12-01,60.0,26.666666666666668
