,precinct,prediction,observed,date,mae
0,102,92.6185213675604,96,2017-01-01,3.3814786324395953
1,102,93.1247507887791,53,2017-02-01,40.124750788779096
2,102,76.3506381568606,73,2017-03-01,3.3506381568605974
3,102,67.95974051900463,62,2017-04-01,5.959740519004626
4,102,64.2596231799266,79,2017-05-01,14.740376820073394
5,102,70.38140236304947,71,2017-06-01,0.6185976369505255
6,102,72.24262000708424,75,2017-07-01,2.7573799929157587
7,102,73.3285499326208,74,2017-08-01,0.6714500673791974
8,102,73.3171458776541,94,2017-09-01,20.6828541223459
9,102,82.32767077990941,103,2017-10-01,20.67232922009059
10,102,94.674176340806,80,2017-11-01,14.674176340806
11,102,91.16844351972591,76,2017-12-01,15.168443519725912
12,102,81.29531420354273,64,2018-01-01,17.29531420354273
13,102,70.58179771503569,44,2018-02-01,26.58179771503569
14,102,55.80028459002621,69,2018-03-01,13.199715409973791
15,102,57.35100049094773,68,2018-04-01,10.648999509052267
16,102,64.11797212519996,63,2018-05-01,1.1179721251999553
17,102,65.2086716193855,74,2018-06-01,8.791328380614502
18,102,68.05358252621377,64,2018-07-01,4.0535825262137735
19,102,67.2026688324682,82,2018-08-01,14.797331167531794
20,102,72.96898604835098,60,2018-09-01,12.968986048350985
21,102,68.93263570546817,74,2018-10-01,5.067364294531828
22,102,68.82529190690485,53,2018-11-01,15.825291906904852
23,102,62.022782210239214,62,2018-12-01,0.022782210239213896
0,52,162.12667382123618,137,2017-01-01,25.12667382123618
1,52,147.34630543942058,107,2017-02-01,40.346305439420576
2,52,121.62832218377582,114,2017-03-01,7.628322183775822
3,52,113.98794830824225,144,2017-04-01,30.012051691757748
4,52,128.8715671987987,157,2017-05-01,28.128432801201313
5,52,146.99791497108652,176,2017-06-01,29.002085028913484
6,52,166.18990053974377,175,2017-07-01,8.810099460256225
7,52,173.25946786099746,170,2017-08-01,3.2594678609974608
8,52,172.30342033810774,158,2017-09-01,14.303420338107742
9,52,163.66744892294685,160,2017-10-01,3.6674489229468463
10,52,160.43259039890907,162,2017-11-01,1.5674096010909295
11,52,160.80575402010632,146,2017-12-01,14.80575402010632
12,52,152.435339413425,134,2018-01-01,18.435339413424998
13,52,140.63752947923012,124,2018-02-01,16.637529479230125
14,52,129.10305892504516,140,2018-03-01,10.896941074954839
15,52,133.9503356732961,172,2018-04-01,38.04966432670389
16,52,156.61841890391392,179,2018-05-01,22.38158109608608
17,52,172.72472456635086,169,2018-06-01,3.724724566350858
18,52,172.34693284905785,169,2018-07-01,3.3469328490578505
19,52,170.10312737488434,162,2018-08-01,8.103127374884338
20,52,164.80226653054547,166,2018-09-01,1.1977334694545334
21,52,165.0813167904274,161,2018-10-01,4.081316790427394
22,52,162.52979790442194,150,2018-11-01,12.52979790442194
23,52,154.87048019518062,144,2018-12-01,10.870480195180619
0,23,65.55823713386611,71,2017-01-01,5.441762866133885
1,23,68.84416193336558,54,2017-02-01,14.844161933365584
2,23,60.426744154791166,55,2017-03-01,5.426744154791166
3,23,56.36506323319477,98,2017-04-01,41.63493676680523
4,23,80.66894190645415,77,2017-05-01,3.668941906454151
5,23,79.84835628994941,80,2017-06-01,0.15164371005059252
6,23,81.90264392697046,91,2017-07-01,9.097356073029545
7,23,86.30261933494923,93,2017-08-01,6.697380665050773
8,23,90.9263395235068,82,2017-09-01,8.926339523506797
9,23,86.50200737389409,76,2017-10-01,10.502007373894088
10,23,80.25418961674433,69,2017-11-01,11.254189616744327
11,23,72.7736361074591,82,2017-12-01,9.226363892540903
12,23,77.89306888941572,74,2018-01-01,3.8930688894157157
13,23,75.52486029567376,58,2018-02-01,17.52486029567376
14,23,65.70970576961231,74,2018-03-01,8.290294230387687
15,23,69.96481451791558,54,2018-04-01,15.964814517915585
16,23,59.914123366946875,86,2018-05-01,26.085876633053125
17,23,75.17426472507545,70,2018-06-01,5.174264725075446
18,23,72.61759488679489,75,2018-07-01,2.3824051132051096
19,23,75.13812213961164,91,2018-08-01,15.861877860388361
20,23,83.53643601972624,82,2018-09-01,1.5364360197262386
21,23,83.83556345096689,74,2018-10-01,9.835563450966887
22,23,78.99412188020975,62,2018-11-01,16.994121880209747
23,23,68.32828484426275,60,2018-12-01,8.328284844262754
0,40,200.64727496849386,212,2017-01-01,11.35272503150614
1,40,207.70895644665777,170,2017-02-01,37.708956446657766
2,40,183.3352064493832,209,2017-03-01,25.664793550616793
3,40,198.17533510552045,195,2017-04-01,3.175335105520446
4,40,199.02504215846832,193,2017-05-01,6.025042158468324
5,40,194.97188099860412,213,2017-06-01,18.02811900139588
6,40,207.06376906110887,261,2017-07-01,53.93623093889113
7,40,245.64507964496076,223,2017-08-01,22.64507964496076
8,40,234.64236665166848,191,2017-09-01,43.64236665166848
9,40,205.32494602502854,208,2017-10-01,2.675053974971462
10,40,205.6970227913868,226,2017-11-01,20.302977208613214
11,40,219.52584974521673,198,2017-12-01,21.525849745216732
12,40,206.57729486866228,181,2018-01-01,25.57729486866228
13,40,189.93821379162603,168,2018-02-01,21.938213791626026
14,40,174.09107665808847,190,2018-03-01,15.908923341911532
15,40,184.59985250088732,190,2018-04-01,5.400147499112677
16,40,188.5780157773535,209,2018-05-01,20.4219842226465
17,40,203.62748228317224,213,2018-06-01,9.372517716827758
18,40,210.91491609986622,213,2018-07-01,2.0850839001337818
19,40,213.49316157697785,248,2018-08-01,34.506838423022145
20,40,237.8955182292321,192,2018-09-01,45.895518229232096
21,40,208.74024724502195,188,2018-10-01,20.740247245021948
22,40,195.20633109051363,173,2018-11-01,22.20633109051363
23,40,178.5925792122029,174,2018-12-01,4.5925792122029065
0,47,220.66333744911725,204,2017-01-01,16.66333744911725
1,47,217.4042798973771,167,2017-02-01,50.40427989737711
2,47,189.6397942096959,189,2017-03-01,0.6397942096959071
