,precinct,prediction,observed,random_prediction,date,perc,random_perc
0,75,16,25,18,2017-01-01,64.0,72.0
1,43,2,16,5,2017-01-01,12.5,31.25
2,103,0,16,13,2017-01-01,0.0,81.25
3,67,16,21,8,2017-01-01,76.19047619047619,38.095238095238095
4,47,0,19,3,2017-01-01,0.0,15.789473684210526
5,75,15,26,2,2017-02-01,57.692307692307686,7.6923076923076925
6,43,1,15,3,2017-02-01,6.666666666666667,20.0
7,103,0,7,1,2017-02-01,0.0,14.285714285714285
8,67,5,10,6,2017-02-01,50.0,60.0
9,47,1,9,1,2017-02-01,11.11111111111111,11.11111111111111
10,75,7,19,11,2017-03-01,36.84210526315789,57.89473684210527
11,43,0,10,2,2017-03-01,0.0,20.0
12,103,2,6,1,2017-03-01,33.33333333333333,16.666666666666664
13,67,5,11,4,2017-03-01,45.45454545454545,36.36363636363637
14,47,1,11,3,2017-03-01,9.090909090909092,27.27272727272727
15,75,7,33,15,2017-04-01,21.21212121212121,45.45454545454545
16,43,0,10,1,2017-04-01,0.0,10.0
17,103,0,20,8,2017-04-01,0.0,40.0
18,67,7,17,8,2017-04-01,41.17647058823529,47.05882352941176
19,47,2,18,3,2017-04-01,11.11111111111111,16.666666666666664
20,75,4,24,2,2017-05-01,16.666666666666664,8.333333333333332
21,43,0,11,7,2017-05-01,0.0,63.63636363636363
22,103,2,21,13,2017-05-01,9.523809523809524,61.904761904761905
23,67,7,20,6,2017-05-01,35.0,30.0
24,47,1,23,8,2017-05-01,4.3478260869565215,34.78260869565217
25,75,6,23,7,2017-06-01,26.08695652173913,30.434782608695656
26,43,0,21,7,2017-06-01,0.0,33.33333333333333
27,103,1,27,15,2017-06-01,3.7037037037037033,55.55555555555556
28,67,3,16,1,2017-06-01,18.75,6.25
29,47,3,26,3,2017-06-01,11.538461538461538,11.538461538461538
30,75,10,36,14,2017-07-01,27.77777777777778,38.88888888888889
31,43,0,18,11,2017-07-01,0.0,61.111111111111114
32,103,4,27,10,2017-07-01,14.814814814814813,37.03703703703704
33,67,3,16,6,2017-07-01,18.75,37.5
34,47,0,25,13,2017-07-01,0.0,52.0
35,75,14,32,9,2017-08-01,43.75,28.125
36,43,0,15,2,2017-08-01,0.0,13.333333333333334
37,103,9,14,11,2017-08-01,64.28571428571429,78.57142857142857
38,67,6,11,2,2017-08-01,54.54545454545454,18.181818181818183
39,47,2,18,8,2017-08-01,11.11111111111111,44.44444444444444
40,75,6,26,4,2017-09-01,23.076923076923077,15.384615384615385
41,43,1,15,3,2017-09-01,6.666666666666667,20.0
42,103,7,16,2,2017-09-01,43.75,12.5
43,67,7,12,6,2017-09-01,58.333333333333336,50.0
44,47,5,21,13,2017-09-01,23.809523809523807,61.904761904761905
45,75,8,42,7,2017-10-01,19.047619047619047,16.666666666666664
46,43,0,12,2,2017-10-01,0.0,16.666666666666664
47,103,5,24,8,2017-10-01,20.833333333333336,33.33333333333333
48,67,6,11,5,2017-10-01,54.54545454545454,45.45454545454545
49,47,2,21,1,2017-10-01,9.523809523809524,4.761904761904762
50,75,1,32,6,2017-11-01,3.125,18.75
51,43,1,16,8,2017-11-01,6.25,50.0
52,103,4,17,2,2017-11-01,23.52941176470588,11.76470588235294
53,67,9,14,3,2017-11-01,64.28571428571429,21.428571428571427
54,47,3,20,16,2017-11-01,15.0,80.0
55,75,5,28,6,2017-12-01,17.857142857142858,21.428571428571427
56,43,2,18,7,2017-12-01,11.11111111111111,38.88888888888889
57,103,7,17,7,2017-12-01,41.17647058823529,41.17647058823529
